CustomerID,CustomerName,Region,CustomerSince
10001,Customer 1,East,2019-09-07
10002,Customer 2,West,2019-11-10
10003,Customer 3,North,2017-02-10
10004,Customer 4,East,2017-06-21
10005,Customer 5,East,2015-12-31
10006,Customer 6,West,2015-06-12
10007,Customer 7,North,2017-12-07
10008,Customer 8,North,2016-05-25
10009,Customer 9,East,2018-09-14
10010,Customer 10,South,2015-04-26
10011,Customer 11,East,2017-07-29
10012,Customer 12,East,2015-12-03
10013,Customer 13,East,2017-05-30
10014,Customer 14,East,2017-01-06
10015,Customer 15,West,2017-04-19
10016,Customer 16,North,2015-05-27
10017,Customer 17,West,2019-05-18
10018,Customer 18,West,2018-09-08
10019,Customer 19,West,2016-03-18
10020,Customer 20,East,2017-04-16
10021,Customer 21,South,2017-11-02
10022,Customer 22,North,2017-07-31
10023,Customer 23,South,2019-02-26
10024,Customer 24,West,2019-09-21
10025,Customer 25,West,2015-10-14
10026,Customer 26,South,2016-12-20
10027,Customer 27,South,2018-02-11
10028,Customer 28,South,2016-04-24
10029,Customer 29,West,2015-01-22
10030,Customer 30,West,2018-10-04
10031,Customer 31,North,2019-10-16
10032,Customer 32,North,2016-11-13
10033,Customer 33,West,2019-05-09
10034,Customer 34,South,2017-06-24
10035,Customer 35,South,2015-11-16
10036,Customer 36,North,2015-05-06
10037,Customer 37,West,2015-10-04
10038,Customer 38,North,2018-05-12
10039,Customer 39,North,2015-07-13
10040,Customer 40,East,2019-09-01
10041,Customer 41,East,2019-08-15
10042,Customer 42,East,2019-04-20
10043,Customer 43,South,2016-11-26
10044,Customer 44,West,2018-08-02
10045,Customer 45,West,2015-02-26
10046,Customer 46,West,2019-10-24
10047,Customer 47,West,2018-08-19
10048,Customer 48,East,2018-04-01
10049,Customer 49,South,2015-01-19
10050,Customer 50,South,2018-10-25
10051,Customer 51,East,2015-09-21
10052,Customer 52,South,2017-03-04
10053,Customer 53,East,2015-04-23
10054,Customer 54,West,2019-02-20
10055,Customer 55,East,2018-09-12
10056,Customer 56,West,2016-06-25
10057,Customer 57,West,2016-10-08
10058,Customer 58,North,2016-08-01
10059,Customer 59,East,2017-12-24
10060,Customer 60,North,2018-08-08
10061,Customer 61,East,2015-01-25
10062,Customer 62,East,2019-04-22
10063,Customer 63,North,2015-01-01
10064,Customer 64,North,2017-06-29
10065,Customer 65,East,2019-04-22
10066,Customer 66,South,2015-05-21
10067,Customer 67,West,2019-11-03
10068,Customer 68,North,2016-10-09
10069,Customer 69,West,2015-07-07
10070,Customer 70,South,2018-02-25
10071,Customer 71,South,2015-07-20
10072,Customer 72,South,2018-02-24
10073,Customer 73,North,2015-09-14
10074,Customer 74,South,2019-08-27
10075,Customer 75,North,2016-06-30
10076,Customer 76,South,2015-07-13
10077,Customer 77,West,2016-12-03
10078,Customer 78,West,2018-02-01
10079,Customer 79,East,2019-04-08
10080,Customer 80,West,2018-07-12
10081,Customer 81,East,2017-03-12
10082,Customer 82,West,2017-07-30
10083,Customer 83,North,2018-11-08
10084,Customer 84,West,2018-07-07
10085,Customer 85,East,2016-02-18
10086,Customer 86,East,2018-10-13
10087,Customer 87,South,2018-01-03
10088,Customer 88,North,2018-10-10
10089,Customer 89,West,2019-05-27
10090,Customer 90,South,2019-11-30
10091,Customer 91,West,2017-06-28
10092,Customer 92,West,2015-07-07
10093,Customer 93,South,2019-09-05
10094,Customer 94,South,2018-08-06
10095,Customer 95,South,2015-02-14
10096,Customer 96,South,2019-05-16
10097,Customer 97,South,2015-03-24
10098,Customer 98,West,2018-02-20
10099,Customer 99,South,2015-12-24
10100,Customer 100,North,2019-04-01
10101,Customer 101,East,2017-12-25
10102,Customer 102,South,2017-07-24
10103,Customer 103,South,2019-08-08
10104,Customer 104,West,2016-01-10
10105,Customer 105,South,2015-06-11
10106,Customer 106,South,2019-11-05
10107,Customer 107,South,2018-11-04
10108,Customer 108,West,2019-08-07
10109,Customer 109,South,2018-10-13
10110,Customer 110,East,2018-04-26
10111,Customer 111,West,2015-11-18
10112,Customer 112,East,2016-03-25
10113,Customer 113,West,2019-02-06
10114,Customer 114,South,2017-11-02
10115,Customer 115,East,2015-07-03
10116,Customer 116,West,2015-04-21
10117,Customer 117,North,2016-05-22
10118,Customer 118,South,2018-08-06
10119,Customer 119,West,2015-10-22
10120,Customer 120,North,2019-01-14
10121,Customer 121,West,2017-06-22
10122,Customer 122,North,2018-05-23
10123,Customer 123,South,2017-08-31
10124,Customer 124,East,2016-09-23
10125,Customer 125,North,2019-05-10
10126,Customer 126,West,2017-11-16
10127,Customer 127,South,2019-07-12
10128,Customer 128,North,2017-01-02
10129,Customer 129,West,2018-06-08
10130,Customer 130,West,2019-05-08
10131,Customer 131,West,2015-11-17
10132,Customer 132,North,2017-07-01
10133,Customer 133,North,2018-06-10
