DriverID,DriverName,LicenseType,ExperienceYears
3001,Driver 1,C,12
3002,Driver 2,A,8
3003,Driver 3,B,5
3004,Driver 4,C,15
3005,Driver 5,B,16
3006,Driver 6,B,1
3007,Driver 7,C,16
3008,Driver 8,C,5
3009,Driver 9,A,3
3010,Driver 10,B,15
3011,Driver 11,C,13
3012,Driver 12,C,16
3013,Driver 13,A,11
3014,Driver 14,A,2
3015,Driver 15,C,6
3016,Driver 16,A,6
3017,Driver 17,C,14
3018,Driver 18,B,11
3019,Driver 19,A,8
3020,Driver 20,B,8
3021,Driver 21,B,1
3022,Driver 22,B,7
3023,Driver 23,C,6
3024,Driver 24,B,8
3025,Driver 25,B,19
3026,Driver 26,B,8
3027,Driver 27,C,14
3028,Driver 28,B,18
3029,Driver 29,B,16
3030,Driver 30,A,9
3031,Driver 31,C,15
3032,Driver 32,B,10
3033,Driver 33,A,16
3034,Driver 34,C,4
3035,Driver 35,C,13
3036,Driver 36,C,5
3037,Driver 37,C,7
3038,Driver 38,C,9
3039,Driver 39,C,8
3040,Driver 40,B,16
3041,Driver 41,B,6
3042,Driver 42,B,16
3043,Driver 43,B,6
3044,Driver 44,A,14
3045,Driver 45,B,1
3046,Driver 46,C,9
3047,Driver 47,B,13
3048,Driver 48,B,19
3049,Driver 49,C,17
3050,Driver 50,B,11
3051,Driver 51,B,8
3052,Driver 52,B,5
3053,Driver 53,A,10
3054,Driver 54,B,7
3055,Driver 55,C,10
3056,Driver 56,C,4
3057,Driver 57,B,9
3058,Driver 58,B,14
3059,Driver 59,B,2
3060,Driver 60,C,9
3061,Driver 61,C,1
3062,Driver 62,A,10
3063,Driver 63,A,10
3064,Driver 64,A,3
3065,Driver 65,C,6
3066,Driver 66,A,6
3067,Driver 67,B,2
3068,Driver 68,B,18
3069,Driver 69,C,2
3070,Driver 70,A,12
3071,Driver 71,B,5
3072,Driver 72,C,7
3073,Driver 73,A,16
3074,Driver 74,B,1
3075,Driver 75,A,1
3076,Driver 76,C,17
3077,Driver 77,A,1
3078,Driver 78,C,13
3079,Driver 79,A,9
3080,Driver 80,B,15
3081,Driver 81,C,3
3082,Driver 82,C,14
3083,Driver 83,C,11
3084,Driver 84,A,12
3085,Driver 85,A,13
3086,Driver 86,B,13
3087,Driver 87,C,1
3088,Driver 88,C,10
3089,Driver 89,A,3
3090,Driver 90,A,4
3091,Driver 91,B,16
3092,Driver 92,B,8
3093,Driver 93,A,16
