OrderID,CustomerID,OrderDate,ShipmentDate,EmployeeID,RouteID,VehicleID,DriverID,ShipmentCost,DeliveryStatus
60001,11300,2023-05-22,2023-01-20,2067,5002,4122,3024,853.95,Delayed
60002,14921,2023-04-07,2023-01-14,2037,5014,4067,3160,78.25,On Time
60003,11416,2023-03-16,2023-01-18,2045,5014,4056,3266,923.93,On Time
60004,13594,2023-05-17,2023-01-31,2026,5044,4046,3137,308.17,On Time
60005,10969,2023-03-18,2023-02-13,2081,5040,4005,3039,618.46,Delayed
60006,10369,2023-05-08,2023-02-18,2055,5034,4056,3108,586.35,On Time
60007,10233,2023-02-06,2023-02-13,2050,5065,4062,3227,426.44,On Time
60008,12243,2023-01-30,2023-04-04,2035,5018,4141,3069,79.87,On Time
60009,13084,2023-02-16,2023-04-25,2041,5112,4059,3263,232.85,On Time
60010,10921,2023-05-15,2023-03-08,2072,5034,4028,3279,634.22,On Time
60011,10689,2023-05-22,2023-04-30,2011,5087,4006,3017,474.05,Delayed
60012,14273,2023-02-17,2023-02-23,2088,5080,4061,3227,443.15,Delayed
60013,11470,2023-05-14,2023-03-14,2008,5124,4093,3192,142.82,On Time
60014,14726,2023-02-03,2023-03-20,2054,5062,4012,3028,379.77,On Time
60015,14260,2023-04-11,2023-03-16,2094,5128,4062,3215,550.11,On Time
60016,13623,2023-02-15,2023-03-14,2001,5070,4112,3018,123.81,On Time
60017,12101,2023-03-11,2023-01-14,2098,5048,4005,3110,113.36,On Time
60018,12266,2023-05-16,2023-03-01,2020,5080,4066,3121,516.98,Cancelled
60019,13790,2023-01-24,2023-02-02,2100,5039,4068,3300,583.19,On Time
60020,10824,2023-03-08,2023-03-25,2034,5070,4086,3064,294.76,Cancelled
60021,13432,2023-01-04,2023-05-01,2057,5080,4109,3037,359.48,Cancelled
60022,14152,2023-01-01,2023-02-24,2098,5009,4114,3003,807.03,On Time
60023,14214,2023-02-03,2023-01-03,2013,5029,4080,3270,875.77,Delayed
60024,10798,2023-04-19,2023-04-29,2054,5118,4066,3135,358.97,On Time
60025,10780,2023-01-09,2023-02-07,2053,5062,4076,3083,387.93,On Time
60026,12851,2023-03-04,2023-04-08,2052,5142,4005,3207,838.81,On Time
60027,12893,2023-01-10,2023-04-14,2006,5043,4133,3167,975.14,On Time
60028,11894,2023-05-18,2023-04-25,2036,5088,4086,3133,354.56,Delayed
60029,13307,2023-02-13,2023-01-02,2025,5008,4141,3079,799.29,On Time
60030,12903,2023-04-28,2023-05-09,2091,5025,4080,3109,505.71,On Time
60031,14804,2023-01-06,2023-04-14,2058,5132,4090,3026,300.54,On Time
60032,13719,2023-05-01,2023-06-06,2055,5015,4137,3167,697.7,On Time
60033,10022,2023-06-01,2023-05-26,2095,5016,4032,3173,489.42,Delayed
60034,11501,2023-04-05,2023-02-27,2003,5054,4083,3031,304.75,Cancelled
60035,10843,2023-04-21,2023-03-12,2028,5127,4036,3151,151.87,On Time
60036,11761,2023-04-15,2023-02-14,2068,5011,4143,3040,873.61,On Time
60037,13642,2023-03-05,2023-05-22,2081,5028,4137,3288,884.73,Delayed
60038,10192,2023-05-20,2023-03-18,2038,5007,4016,3260,121.21,Delayed
60039,10396,2023-03-12,2023-06-08,2034,5114,4006,3081,680.23,On Time
