ShipmentID,WeightKG,ShipmentType,DeliveryTimeHours
60001,28.49,Land,68
60002,36.78,Land,137
60003,42.56,Air,182
60004,2.78,Air,186
60005,49.82,Air,27
60006,13.48,Air,131
60007,35.27,Land,194
60008,47.7,Air,193
60009,38.28,Air,185
60010,11.87,Air,4
60011,18.43,Sea,52
60012,21.0,Land,65
60013,29.52,Land,126
60014,30.35,Air,100
60015,39.5,Land,15
60016,43.05,Air,42
60017,4.93,Land,193
60018,14.02,Air,56
60019,17.51,Land,86
60020,1.16,Sea,77
60021,21.17,Sea,76
60022,18.26,Air,82
60023,26.51,Air,2
60024,5.46,Land,173
60025,20.99,Sea,63
60026,30.07,Air,175
60027,40.29,Land,124
60028,38.44,Sea,71
60029,20.54,Sea,83
60030,19.78,Land,34
60031,2.35,Land,129
60032,4.59,Land,59
60033,43.68,Air,110
60034,40.39,Sea,82
60035,1.54,Air,175
60036,44.19,Land,133
60037,30.89,Air,124
60038,40.19,Land,157
60039,25.38,Air,181
60040,7.96,Air,127
60041,18.17,Land,11
60042,22.78,Air,91
60043,37.82,Land,22
60044,40.73,Sea,45
60045,37.2,Sea,75
60046,24.09,Sea,121
60047,33.35,Sea,190
60048,15.13,Sea,21
60049,49.4,Air,54
60050,8.83,Sea,164
60051,36.32,Sea,196
60052,8.17,Air,145
60053,14.4,Sea,2
60054,37.57,Sea,125
60055,36.59,Air,148
60056,6.66,Air,183
60057,34.09,Land,11
60058,10.59,Land,98
60059,48.66,Land,66
60060,30.35,Air,116
60061,0.67,Land,123
60062,10.82,Air,173
60063,11.87,Sea,52
60064,12.73,Land,121
60065,28.08,Sea,25
60066,10.68,Air,141
60067,20.93,Air,145
60068,9.08,Air,32
60069,33.51,Sea,56
60070,28.65,Sea,47
60071,31.62,Sea,118
60072,48.39,Land,142
60073,20.27,Air,187
60074,11.17,Sea,149
60075,49.94,Land,161
60076,3.37,Sea,187
60077,40.61,Air,144
60078,8.53,Land,112
60079,33.41,Land,86
60080,23.95,Land,139
60081,42.03,Land,123
60082,36.69,Land,149
60083,9.03,Land,147
60084,33.43,Air,167
60085,11.25,Air,15
60086,8.88,Land,52
60087,4.66,Air,31
60088,6.13,Air,123
60089,35.34,Sea,170
60090,49.61,Sea,62
60091,33.95,Sea,187
60092,35.57,Land,177
60093,39.24,Sea,159
60094,44.51,Air,50
60095,13.75,Sea,27
60096,30.43,Land,7
60097,11.22,Land,78
60098,26.52,Air,191
60099,10.83,Air,1
60100,3.67,Sea,145
60101,4.87,Sea,65
60102,48.83,Sea,61
60103,0.8,Land,146
60104,34.66,Sea,45
60105,44.42,Sea,173
60106,19.99,Air,82
60107,35.55,Land,20
60108,17.77,Land,186
60109,26.68,Air,50
60110,46.82,Land,166
60111,2.6,Air,141
60112,13.73,Air,125
60113,5.75,Air,168
60114,25.05,Sea,178
60115,38.64,Sea,193
60116,48.84,Land,33
60117,8.19,Air,64
60118,2.67,Sea,172
60119,7.35,Land,110
60120,48.45,Land,165
60121,16.35,Air,12
60122,13.73,Air,85
60123,36.89,Land,66
60124,6.47,Land,6
60125,17.78,Land,64
60126,7.67,Sea,2
60127,48.73,Sea,123
60128,14.61,Land,178
60129,13.83,Land,64
60130,31.9,Land,102
60131,1.32,Sea,17
60132,32.85,Air,197
60133,22.97,Air,10
60134,9.61,Land,75
60135,24.57,Sea,127
60136,49.95,Sea,118
60137,42.02,Land,168
60138,48.72,Land,159
60139,46.34,Land,195
60140,41.11,Sea,159
60141,17.07,Air,123
60142,36.63,Sea,49
60143,19.88,Sea,151
60144,21.76,Sea,24
60145,43.73,Air,64
60146,10.66,Air,54
60147,15.18,Air,81
60148,46.56,Land,72
60149,35.13,Air,98
60150,3.71,Land,61
60151,6.52,Land,121
60152,29.19,Air,15
60153,40.04,Land,145
60154,39.74,Sea,86
60155,21.53,Land,5
60156,13.3,Sea,166
60157,39.49,Land,157
60158,47.23,Land,198
60159,22.48,Air,11
60160,7.3,Sea,26
60161,30.68,Sea,104
60162,4.05,Air,57
60163,30.77,Sea,72
60164,9.06,Sea,161
60165,26.04,Sea,48
60166,31.46,Sea,72
60167,22.61,Air,160
60168,41.45,Air,116
60169,19.05,Land,152
60170,8.17,Air,83
60171,23.46,Land,163
60172,48.2,Sea,185
60173,44.07,Air,151
